,x86,x86_64,armhf,aarch64,ppc64le,s390x
main/ipfw,1,1,1,1,1,1
main/iproute2,1,1,1,1,1,1
main/iproute2-qos,1,1,1,1,1,1
main/ipsec-tools,1,1,1,1,1,1
main/ipset,1,1,1,1,1,1
main/iptables,1,1,1,1,1,1
main/iptraf-ng,1,1,1,1,1,1
main/iputils,1,1,1,1,1,1
main/ipvsadm,1,1,1,1,1,1
main/ircii,1,1,1,1,1,1
main/ircservices,1,1,1,1,1,1
main/irqbalance,1,1,1,1,1,1
main/irssi,1,1,1,1,1,1
main/iscsi-scst,1,1,1,1,1,1
main/isl,1,1,1,1,1,1
main/iso-codes,1,1,1,1,1,1
main/itstool,1,1,1,1,1,1
main/iw,1,1,1,1,1,1
main/iwlwifi-1000-ucode,1,1,1,1,1,1
main/iwlwifi-5000-ucode,1,1,1,1,1,1
main/iwlwifi-5150-ucode,1,1,1,1,1,1
main/iwlwifi-6000-ucode,1,1,1,1,1,1
main/jack,1,1,1,1,1,1
main/jansson,1,1,1,1,1,1
main/jasper,1,1,1,1,1,1
main/java-common,1,1,1,1,1,1
main/java-gcj-compat,1,1,1,1,1,1
main/jbig2dec,1,1,1,1,1,1
main/jemalloc,1,1,1,1,1,1
main/jfsutils,1,1,1,1,1,1
main/joe,1,1,1,1,1,1
main/jpeg,1,1,1,1,1,1
main/jq,1,1,1,1,1,1
main/json-c,1,1,1,1,1,1
main/json-glib,1,1,1,1,1,1
main/jsoncpp,1,1,1,1,1,1
main/jwhois,1,1,1,1,1,1
main/jwm,1,1,1,1,1,1
main/kamailio,1,1,1,1,1,1
main/kbd,1,1,1,1,1,1
main/kbproto,1,1,1,1,1,1
main/keybinder,1,1,1,1,1,1
main/keyutils,1,1,1,1,1,1
main/kmod,1,1,1,1,1,1
main/knock,1,1,1,1,1,1
main/krb5,1,1,1,1,1,1
main/krb5-conf,1,1,1,1,1,1
main/ksymoops,1,1,1,1,1,1
main/kyua,1,1,1,1,1,1
main/lame,1,1,1,1,1,1
main/lang,1,1,1,1,1,1
main/lcms,1,1,1,1,1,1
main/lcms2,1,1,1,1,1,1
main/ldapvi,1,1,1,1,1,1
main/ldb,1,1,1,1,1,1
main/lddtree,1,1,1,1,1,1
main/ldns,1,1,1,1,1,1
main/ldoc,1,1,1,1,1,1
main/less,1,1,1,1,1,1
main/lftp,1,1,1,1,1,1
main/libaio,1,1,1,1,1,1
main/libao,1,1,1,1,1,1
main/libarchive,1,1,1,1,1,1
main/libart-lgpl,1,1,1,1,1,1
main/libasr,1,1,1,1,1,1
main/libass,1,1,1,1,1,1
main/libassuan,1,1,1,1,1,1
main/libasyncns,1,1,1,1,1,1
main/libatasmart,1,1,1,1,1,1
main/libatomic_ops,1,1,1,1,1,1
main/libavc1394,1,1,1,1,1,1
main/libbluray,1,1,1,1,1,1
main/libbonobo,1,1,1,1,1,1
main/libbsd,1,1,1,1,1,1
main/libburn,1,1,1,1,1,1
main/libc-dev,1,1,1,1,1,1
main/libc0.9.32,1,1,1,1,1,1
main/libcanberra,1,1,1,1,1,1
main/libcap,1,1,1,1,1,1
